name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Morocco,2018-12-10,18.0,7.0,12.4,18.0,7.0,12.4,10.0,85.6,0.0,0,0.0,,0,0.0,16.6,11.2,232.0,1024.2,28.0,4.5,131.8,11.3,5,,2018-12-10T08:21:53,2018-12-10T18:18:16,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60120099999,60135099999,GMME"
Morocco,2018-12-11,17.8,10.0,14.1,17.8,9.6,14.1,10.3,78.9,0.0,0,0.0,,0,0.0,22.0,11.2,196.3,1024.1,78.0,6.6,101.9,8.9,4,,2018-12-11T08:22:37,2018-12-11T18:18:27,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,remote,GMME"
Morocco,2018-12-12,19.0,9.0,13.5,19.0,8.5,13.5,10.2,81.5,0.0,0,0.0,,0,0.0,18.0,11.2,219.5,1023.3,70.5,5.7,113.8,9.8,5,,2018-12-12T08:23:21,2018-12-12T18:18:40,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,GMME"
Morocco,2018-12-13,18.0,13.8,15.1,18.0,13.8,15.1,10.6,75.0,5.0,100,4.17,rain,0,0.0,58.0,37.1,244.9,1021.8,88.7,6.6,55.7,4.7,3,,2018-12-13T08:24:03,2018-12-13T18:18:55,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60135099999,remote,GMME"
Morocco,2018-12-14,17.0,8.1,12.4,17.0,8.1,12.4,8.2,77.3,9.0,100,8.33,rain,0,0.0,21.2,16.6,22.7,1026.4,48.5,8.3,91.3,7.7,4,,2018-12-14T08:24:44,2018-12-14T18:19:11,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60135099999,GMME"
Morocco,2018-12-15,18.1,8.0,12.0,18.1,7.4,11.8,7.4,74.9,0.0,0,0.0,,0,0.0,25.2,13.0,90.4,1027.1,0.1,9.8,135.6,11.8,5,,2018-12-15T08:25:23,2018-12-15T18:19:30,0.25,Clear,Clear conditions throughout the day.,clear-day,"60135099999,GMME"
Morocco,2018-12-16,19.0,7.0,12.3,19.0,7.0,12.2,9.6,84.6,0.0,0,0.0,,0,0.0,19.1,11.2,55.4,1026.3,4.0,8.6,125.4,10.8,5,,2018-12-16T08:26:02,2018-12-16T18:19:50,0.3,Clear,Clear conditions throughout the day.,clear-day,"60135099999,GMME"
Morocco,2018-12-17,18.9,8.0,12.4,18.9,8.0,12.3,9.5,83.8,0.0,0,0.0,,0,0.0,23.4,104.0,44.3,1025.7,20.6,7.9,131.9,11.5,5,,2018-12-17T08:26:39,2018-12-17T18:20:12,0.33,Partially cloudy,Partly cloudy throughout the day.,wind,"60135099999,GMME"
Morocco,2018-12-18,20.0,9.0,13.2,20.0,9.0,13.0,9.8,81.1,0.0,0,0.0,,0,0.0,21.6,16.6,199.3,1023.8,3.3,9.4,133.7,11.7,5,,2018-12-18T08:27:15,2018-12-18T18:20:35,0.36,Clear,Clear conditions throughout the day.,clear-day,"60135099999,remote,GMME"
Morocco,2018-12-19,19.0,11.0,14.1,19.0,11.0,14.1,12.0,88.0,0.0,0,0.0,,0,0.0,16.9,11.2,196.8,1025.2,52.7,4.8,118.0,10.1,5,,2018-12-19T08:27:49,2018-12-19T18:21:01,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,GMME"
Morocco,2018-12-20,16.9,9.0,13.1,16.9,9.0,13.1,10.1,82.9,0.0,0,0.0,,0,0.0,25.2,14.8,48.4,1026.6,59.2,5.1,114.2,9.9,5,,2018-12-20T08:28:22,2018-12-20T18:21:28,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,GMME"
Morocco,2018-12-21,19.0,7.0,11.7,19.0,7.0,11.6,8.4,81.5,0.0,0,0.0,,0,0.0,25.2,18.4,54.2,1027.4,24.3,7.6,135.7,11.7,6,,2018-12-21T08:28:54,2018-12-21T18:21:56,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,GMME"
