name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Morocco,2021-09-01,25.9,18,22,25.9,18,22,18.7,82.5,0,0,0,,0,0,33.1,16.6,346.5,1014.9,45.8,6.5,231.2,20.2,8,,2021-09-01T07:00:56,2021-09-01T19:53:08,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-02,27,15.2,22.2,27.7,15.2,22.2,18.3,80.6,0,0,0,,0,0,32.4,18.4,353.2,1016.2,42.1,8,240.9,20.9,8,,2021-09-02T07:01:38,2021-09-02T19:51:48,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-03,26,19,22.3,26,19,22.3,18.7,80.9,0,0,0,,0,0,34.2,16.6,2.7,1015.9,42.5,6,221.5,19.1,8,,2021-09-03T07:02:20,2021-09-03T19:50:27,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-04,27,15,21.2,27.7,15,21.2,18,83.8,0,0,0,,0,0,29.9,20.5,4.5,1013.2,17.6,5.9,243,20.9,8,,2021-09-04T07:03:01,2021-09-04T19:49:06,0.92,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-05,43,16,27,40.3,16,27.2,16.4,64.5,0,0,0,,0,0,31.7,16.6,11.9,1011.2,21.1,6,214.3,18.8,8,,2021-09-05T07:03:42,2021-09-05T19:47:45,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-06,30,21.9,25.2,31.3,21.9,25.7,21,79.2,0,0,0,,0,0,32.8,18.5,333.7,1013.5,39.2,5.7,221,19.2,7,,2021-09-06T07:04:24,2021-09-06T19:46:23,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-07,27,20.6,23.7,28.8,20.6,23.9,20.8,84.7,0,0,0,,0,0,37.4,14.8,350.8,1015.9,54.3,5.5,273.9,23.8,9,,2021-09-07T07:05:05,2021-09-07T19:45:01,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,GMME"
Morocco,2021-09-08,26.2,18,22.8,26.2,18,22.8,19.5,82.9,0,0,0,,0,0,31.7,18.4,3.1,1017.5,68.9,6.6,265.5,22.9,9,,2021-09-08T07:05:46,2021-09-08T19:43:38,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,GMME"
Morocco,2021-09-09,26.2,16,21.5,26.2,16,21.5,17.7,81,0,0,0,,0,0,31.7,19.2,6,1018.2,38.6,6.5,263.3,22.8,9,,2021-09-09T07:06:27,2021-09-09T19:42:16,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,GMME"
Morocco,2021-09-10,27,16,21.5,27.3,16,21.5,18,82.9,0,0,0,,0,0,32.4,22.3,17.4,1017.7,20.9,7.5,269.9,23.3,9,,2021-09-10T07:07:09,2021-09-10T19:40:53,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,GMME"
Morocco,2021-09-11,27,16,21.7,28.2,16,21.7,18.7,85.1,0,0,0,,0,0,29.2,16.6,7.9,1015.7,21.7,7.3,270.2,23.4,9,,2021-09-11T07:07:50,2021-09-11T19:39:29,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,remote,GMME"
Morocco,2021-09-12,31,15.2,22.5,32.4,15.2,22.8,18.4,80.6,0,0,0,,0,0,31.7,13,321.1,1012.3,37.3,6.3,261.5,22.5,9,,2021-09-12T07:08:31,2021-09-12T19:38:06,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,GMME"
Morocco,2021-09-13,33,21.9,25.7,32.2,21.9,25.6,17.9,66.5,1.3,100,16.67,rain,0,0,83.5,31.7,171,1010.9,89.6,5,163.9,14.4,7,,2021-09-13T07:09:12,2021-09-13T19:36:42,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60146099999,60120099999,60135099999,GMME"
Morocco,2021-09-14,27,20.8,23,28,20.8,23.1,19.6,82,2,100,4.17,rain,0,0,42.5,22.3,232.1,1011.5,61.4,6.4,156.2,13.7,8,,2021-09-14T07:09:54,2021-09-14T19:35:18,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-15,26,19,22.3,26,19,22.3,18.4,79.9,0,0,0,,0,0,33.5,18.4,265.9,1014.9,34.9,8,198,17,8,,2021-09-15T07:10:35,2021-09-15T19:33:54,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-16,25,16,21.1,25,16,21.1,17.9,83.8,0,0,0,,0,0,31.7,18.4,4.3,1016.3,28.9,6.3,235.5,20.3,8,,2021-09-16T07:11:16,2021-09-16T19:32:30,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,remote,F3955,GMME"
Morocco,2021-09-17,25.8,16,21.4,25.8,16,21.4,18.7,85.9,0,0,0,,0,0,31.3,14.8,354.7,1015.4,51.7,6.7,221.6,19.2,7,,2021-09-17T07:11:58,2021-09-17T19:31:06,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-18,26,16.9,21.2,26,16.9,21.2,18.3,84.7,0,0,0,,0,0,33.5,20.5,0.7,1015.1,30.8,7.7,229.4,19.9,7,,2021-09-18T07:12:39,2021-09-18T19:29:42,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
Morocco,2021-09-19,25,15,20.9,25,15,20.9,16.8,78.8,0,0,0,,0,0,29.9,17.7,343.3,1016.1,37.8,6,211,18.1,7,,2021-09-19T07:13:21,2021-09-19T19:28:18,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
