name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Morocco,2000-10-23,18.1,12.1,15.5,18.1,12.1,15.5,11.8,79.7,0.0,0.0,0.0,,,,,18.4,272.7,1014.7,82.6,9.0,,,,,2000-10-23T06:39:07,2000-10-23T17:43:37,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,2000-10-24,20.6,14.1,17.1,20.6,14.1,17.1,15.0,87.8,0.8,100.0,4.17,rain,,,,14.8,277.6,1013.6,67.5,8.3,,,,,2000-10-24T06:39:58,2000-10-24T17:42:31,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,60135099999
Morocco,2000-10-25,21.1,12.1,16.5,21.1,12.1,16.5,14.2,87.1,0.0,0.0,0.0,,,,,14.8,323.5,1017.1,47.0,7.5,,,,,2000-10-25T06:40:49,2000-10-25T17:41:25,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,2000-10-26,21.1,12.1,16.0,21.1,12.1,16.0,14.3,90.0,0.0,0.0,0.0,,,,,18.4,351.7,1020.8,50.4,6.8,,,,,2000-10-26T06:41:41,2000-10-26T17:40:21,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,2000-10-27,23.1,14.1,17.7,23.1,14.1,17.7,15.8,89.3,0.0,0.0,0.0,,,,,18.4,6.8,1020.4,42.3,6.4,,,,,2000-10-27T06:42:34,2000-10-27T17:39:18,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,2000-10-28,21.1,11.1,15.4,21.1,11.1,15.4,14.3,93.4,0.0,0.0,0.0,,,,,11.2,306.7,1020.6,49.5,3.5,,,,,2000-10-28T06:43:26,2000-10-28T17:38:16,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,2000-10-29,20.4,14.1,17.3,20.4,14.1,17.3,15.8,91.1,0.0,0.0,0.0,,,,,14.8,333.6,1022.4,65.8,4.4,,,,,2000-10-29T06:44:20,2000-10-29T17:37:15,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,2000-10-30,20.9,15.1,17.4,20.9,15.1,17.4,14.6,84.2,0.0,0.0,0.0,,,,,14.8,304.6,1020.8,70.0,7.5,,,,,2000-10-30T06:45:13,2000-10-30T17:36:15,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,2000-10-31,19.1,12.6,16.0,19.1,12.6,16.0,13.2,83.9,0.7,100.0,4.17,rain,,,,25.9,273.9,1018.6,77.7,7.9,,,,,2000-10-31T06:46:07,2000-10-31T17:35:17,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,60135099999
Morocco,2000-11-01,20.1,8.7,13.9,20.1,8.0,13.9,9.1,75.5,0.0,0.0,0.0,,,,,22.3,9.0,1018.9,34.0,9.0,,,,,2000-11-01T06:47:01,2000-11-01T17:34:20,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,60135099999
Morocco,2000-11-02,19.1,9.1,13.4,19.1,9.1,13.4,10.1,81.3,0.0,0.0,0.0,,,,,11.2,278.6,1017.9,13.8,9.4,,,,,2000-11-02T06:47:55,2000-11-02T17:33:24,0.2,Clear,Clear conditions throughout the day.,clear-day,60135099999
